Unnamed: 0,artists,album_name,track_name,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,clusters,mood_index,Cluster,Mood,Normalized mood_index
30003,David Guetta;Bebe Rexha,I'm Good (Blue),I'm Good (Blue),98,0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,0,2.2576,1,happy/Upbeat,1.0
81210,David Guetta;Bebe Rexha,I'm Good (Blue),I'm Good (Blue),98,0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,0,2.2576,1,happy/Upbeat,1.0
20008,David Guetta;Bebe Rexha,I'm Good (Blue),I'm Good (Blue),98,0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,0,2.2576,1,happy/Upbeat,1.0
51664,Bizarrap;Quevedo,"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",99,0.621,0.782,-5.548,0.044,0.0125,0.033,0.23,0.55,128.033,1,2.2374,0,happy/Upbeat,0.9805300829495575
67356,Manuel Turizo,La Bachata,La Bachata,98,0.835,0.679,-5.329,0.0364,0.583,1.98e-06,0.218,0.85,124.98,1,2.2244,0,happy/Upbeat,0.9679999383131342
89411,Manuel Turizo,La Bachata,La Bachata,98,0.835,0.679,-5.329,0.0364,0.583,1.98e-06,0.218,0.85,124.98,1,2.2244,0,happy/Upbeat,0.9679999383131342
88410,Manuel Turizo,La Bachata,La Bachata,98,0.835,0.679,-5.329,0.0364,0.583,1.98e-06,0.218,0.85,124.98,1,2.2244,0,happy/Upbeat,0.9679999383131342
68303,Manuel Turizo,La Bachata,La Bachata,98,0.835,0.679,-5.329,0.0364,0.583,1.98e-06,0.218,0.85,124.98,1,2.2244,0,happy/Upbeat,0.9679999383131342
81052,Harry Styles,As It Was,As It Was,95,0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,0,2.1746,1,happy/Upbeat,0.9199998457828351
79000,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",I Ain't Worried,96,0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994,1,2.1728200000000006,0,happy/Upbeat,0.9182841798249255
81174,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",I Ain't Worried,96,0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994,1,2.1728200000000006,0,happy/Upbeat,0.9182841798249255
91003,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",I Ain't Worried,96,0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994,1,2.1728200000000006,0,happy/Upbeat,0.9182841798249255
81051,Sam Smith;Kim Petras,Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),100,0.714,0.472,-7.375,0.0864,0.013,4.51e-06,0.266,0.238,131.121,0,2.1713999999999998,1,happy/Upbeat,0.9169155024877154
20001,Sam Smith;Kim Petras,Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),100,0.714,0.472,-7.375,0.0864,0.013,4.51e-06,0.266,0.238,131.121,0,2.1713999999999998,1,happy/Upbeat,0.9169155024877154
20410,Nicki Minaj,Super Freaky Girl,Super Freaky Girl,92,0.95,0.891,-2.653,0.241,0.0645,1.77e-05,0.309,0.912,133.01,1,2.1712,0,happy/Upbeat,0.9167227310317704
51458,Nicki Minaj,Super Freaky Girl,Super Freaky Girl,92,0.95,0.891,-2.653,0.241,0.0645,1.77e-05,0.309,0.912,133.01,1,2.1712,0,happy/Upbeat,0.9167227310317704
68353,Bad Bunny;Bomba Estéreo,Un Verano Sin Ti,Ojitos Lindos,95,0.647,0.686,-5.745,0.0413,0.08,1.34e-06,0.528,0.268,79.928,0,2.1696,1,happy/Upbeat,0.9151805593842108
67500,Bad Bunny;Bomba Estéreo,Un Verano Sin Ti,Ojitos Lindos,95,0.647,0.686,-5.745,0.0413,0.08,1.34e-06,0.528,0.268,79.928,0,2.1696,1,happy/Upbeat,0.9151805593842108
88404,Bad Bunny;Bomba Estéreo,Un Verano Sin Ti,Ojitos Lindos,94,0.647,0.686,-5.745,0.0413,0.08,1.34e-06,0.528,0.268,79.928,0,2.1496000000000004,1,happy/Upbeat,0.8959034137897137
89403,Bad Bunny;Bomba Estéreo,Un Verano Sin Ti,Ojitos Lindos,94,0.647,0.686,-5.745,0.0413,0.08,1.34e-06,0.528,0.268,79.928,0,2.1496000000000004,1,happy/Upbeat,0.8959034137897137
67358,Bad Bunny;Chencho Corleone,Un Verano Sin Ti,Me Porto Bonito,97,0.911,0.712,-5.105,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,1,2.14356,0,happy/Upbeat,0.8900817158201749
68305,Bad Bunny;Chencho Corleone,Un Verano Sin Ti,Me Porto Bonito,97,0.911,0.712,-5.105,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,1,2.14356,0,happy/Upbeat,0.8900817158201749
88405,Bad Bunny;Chencho Corleone,Un Verano Sin Ti,Me Porto Bonito,97,0.911,0.712,-5.105,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,1,2.14356,0,happy/Upbeat,0.8900817158201749
89407,Bad Bunny;Chencho Corleone,Un Verano Sin Ti,Me Porto Bonito,97,0.911,0.712,-5.105,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,1,2.14356,0,happy/Upbeat,0.8900817158201749
88604,Bad Bunny;Jhayco,Un Verano Sin Ti,Tarot,91,0.795,0.684,-3.971,0.0419,0.0225,0.0,0.658,0.419,114.011,1,2.1302999999999996,0,happy/Upbeat,0.8773009682910228
67865,Bad Bunny;Jhayco,Un Verano Sin Ti,Tarot,91,0.795,0.684,-3.971,0.0419,0.0225,0.0,0.658,0.419,114.011,1,2.1302999999999996,0,happy/Upbeat,0.8773009682910228
68514,Bad Bunny;Jhayco,Un Verano Sin Ti,Tarot,91,0.795,0.684,-3.971,0.0419,0.0225,0.0,0.658,0.419,114.011,1,2.1302999999999996,0,happy/Upbeat,0.8773009682910228
89554,Bad Bunny;Jhayco,Un Verano Sin Ti,Tarot,91,0.795,0.684,-3.971,0.0419,0.0225,0.0,0.658,0.419,114.011,1,2.1302999999999996,0,happy/Upbeat,0.8773009682910228
68304,Bad Bunny,Un Verano Sin Ti,Tití Me Preguntó,97,0.65,0.715,-5.198,0.253,0.0993,0.000291,0.126,0.187,106.672,0,2.1269,1,happy/Upbeat,0.8740238535399586
67359,Bad Bunny,Un Verano Sin Ti,Tití Me Preguntó,97,0.65,0.715,-5.198,0.253,0.0993,0.000291,0.126,0.187,106.672,0,2.1269,1,happy/Upbeat,0.8740238535399586
89405,Bad Bunny,Un Verano Sin Ti,Tití Me Preguntó,97,0.65,0.715,-5.198,0.253,0.0993,0.000291,0.126,0.187,106.672,0,2.1269,1,happy/Upbeat,0.8740238535399586
88407,Bad Bunny,Un Verano Sin Ti,Tití Me Preguntó,97,0.65,0.715,-5.198,0.253,0.0993,0.000291,0.126,0.187,106.672,0,2.1269,1,happy/Upbeat,0.8740238535399586
91000,Beach Weather,Chit Chat,"Sex, Drugs, Etc.",90,0.572,0.839,-5.083,0.0377,0.013,0.00976,0.522,0.465,143.969,0,2.1187,1,happy/Upbeat,0.8661202238462147
81200,The Weeknd,After Hours,Save Your Tears,89,0.68,0.826,-5.487,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,1,2.1182,0,happy/Upbeat,0.865638295206352
81205,Harry Styles,Harry's House,As It Was,92,0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,0,2.1146000000000003,1,happy/Upbeat,0.8621684089993429
81003,Chris Brown,Indigo (Extended),Under The Influence,96,0.733,0.69,-5.529,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,1,2.1100000000000003,0,happy/Upbeat,0.8577346655126085
20000,Chris Brown,Indigo (Extended),Under The Influence,96,0.733,0.69,-5.529,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,1,2.1100000000000003,0,happy/Upbeat,0.8577346655126085
81100,Rema;Selena Gomez,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),92,0.801,0.806,-5.206,0.0381,0.382,0.000669,0.114,0.802,106.999,1,2.1042,0,happy/Upbeat,0.8521442932902039
2003,The Neighbourhood,I Love You.,Sweater Weather,93,0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053,0,2.0814000000000004,1,happy/Upbeat,0.830168347312477
81853,The Neighbourhood,I Love You.,Sweater Weather,93,0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053,0,2.0814000000000004,1,happy/Upbeat,0.830168347312477
91002,The Neighbourhood,I Love You.,Sweater Weather,93,0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053,0,2.0814000000000004,1,happy/Upbeat,0.830168347312477
3003,The Neighbourhood,I Love You.,Sweater Weather,93,0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053,0,2.0814000000000004,1,happy/Upbeat,0.830168347312477
20850,Beyoncé,RENAISSANCE,CUFF IT,93,0.78,0.689,-5.668,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,1,2.0759600000000002,0,happy/Upbeat,0.8249249637107736
19652,Morgan Wallen,You Proof,You Proof,86,0.731,0.85,-4.913,0.0336,0.252,0.0,0.605,0.644,119.706,1,2.0753999999999997,0,happy/Upbeat,0.8243852036341272
51352,Lizzo,About Damn Time,About Damn Time,89,0.836,0.743,-6.305,0.0656,0.0995,0.0,0.335,0.722,108.966,1,2.0678000000000005,0,happy/Upbeat,0.8170598883082189
106014,ABBA,Arrival,Dancing Queen,83,0.543,0.87,-6.514,0.0428,0.358,0.000939,0.792,0.754,100.804,1,2.0678,0,happy/Upbeat,0.8170598883082184
68355,Bad Bunny,Un Verano Sin Ti,Moscow Mule,94,0.804,0.674,-5.453,0.0333,0.294,1.18e-06,0.115,0.292,99.968,1,2.067,0,happy/Upbeat,0.8162888024844387
88450,Bad Bunny,Un Verano Sin Ti,Moscow Mule,94,0.804,0.674,-5.453,0.0333,0.294,1.18e-06,0.115,0.292,99.968,1,2.067,0,happy/Upbeat,0.8162888024844387
67603,Bad Bunny,Un Verano Sin Ti,Moscow Mule,94,0.804,0.674,-5.453,0.0333,0.294,1.18e-06,0.115,0.292,99.968,1,2.067,0,happy/Upbeat,0.8162888024844387
89450,Bad Bunny,Un Verano Sin Ti,Moscow Mule,94,0.804,0.674,-5.453,0.0333,0.294,1.18e-06,0.115,0.292,99.968,1,2.067,0,happy/Upbeat,0.8162888024844387
81158,Harry Styles,Fine Line,Watermelon Sugar,89,0.548,0.816,-4.209,0.0465,0.122,0.0,0.335,0.557,95.39,1,2.0659,0,happy/Upbeat,0.8152285594767412
81354,Ed Sheeran,=,Bad Habits,88,0.807,0.893,-3.745,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,1,2.0655,0,happy/Upbeat,0.8148430165648513
67801,Rauw Alejandro;Lyanno;Brray,LOKERA,LOKERA,91,0.834,0.828,-2.657,0.0452,0.21,5.91e-06,0.103,0.58,102.019,1,2.0641999999999996,0,happy/Upbeat,0.8135900021012085
68501,Rauw Alejandro;Lyanno;Brray,LOKERA,LOKERA,91,0.834,0.828,-2.657,0.0452,0.21,5.91e-06,0.103,0.58,102.019,1,2.0641999999999996,0,happy/Upbeat,0.8135900021012085
31022,benny blanco;BTS;Snoop Dogg,Bad Decisions (with BTS & Snoop Dogg),Bad Decisions (with BTS & Snoop Dogg),87,0.762,0.861,-3.296,0.0955,0.0185,0.0,0.264,0.955,120.048,1,2.0605,0,happy/Upbeat,0.810023730166227
81143,benny blanco;BTS;Snoop Dogg,Bad Decisions (with BTS & Snoop Dogg),Bad Decisions (with BTS & Snoop Dogg),87,0.762,0.861,-3.296,0.0955,0.0185,0.0,0.264,0.955,120.048,1,2.0605,0,happy/Upbeat,0.810023730166227
20030,benny blanco;BTS;Snoop Dogg,Bad Decisions (with BTS & Snoop Dogg),Bad Decisions (with BTS & Snoop Dogg),87,0.762,0.861,-3.296,0.0955,0.0185,0.0,0.264,0.955,120.048,1,2.0605,0,happy/Upbeat,0.810023730166227
88814,Bad Bunny;Tony Dize,Un Verano Sin Ti,La Corriente,90,0.663,0.786,-3.51,0.195,0.229,0.0,0.219,0.579,196.12,0,2.0589,1,happy/Upbeat,0.808481558518667
89724,Bad Bunny;Tony Dize,Un Verano Sin Ti,La Corriente,90,0.663,0.786,-3.51,0.195,0.229,0.0,0.219,0.579,196.12,0,2.0589,1,happy/Upbeat,0.808481558518667
68673,Bad Bunny;Tony Dize,Un Verano Sin Ti,La Corriente,90,0.663,0.786,-3.51,0.195,0.229,0.0,0.219,0.579,196.12,0,2.0589,1,happy/Upbeat,0.808481558518667
88652,Bad Bunny;Rauw Alejandro,Un Verano Sin Ti,Party,90,0.829,0.799,-5.389,0.0897,0.0151,0.000543,0.242,0.471,97.013,1,2.0553,0,happy/Upbeat,0.8050116723116574
89604,Bad Bunny;Rauw Alejandro,Un Verano Sin Ti,Party,90,0.829,0.799,-5.389,0.0897,0.0151,0.000543,0.242,0.471,97.013,1,2.0553,0,happy/Upbeat,0.8050116723116574
68553,Bad Bunny;Rauw Alejandro,Un Verano Sin Ti,Party,90,0.829,0.799,-5.389,0.0897,0.0151,0.000543,0.242,0.471,97.013,1,2.0553,0,happy/Upbeat,0.8050116723116574
68359,Bad Bunny,Un Verano Sin Ti,Efecto,96,0.801,0.475,-8.797,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,1,2.0511800000000004,0,happy/Upbeat,0.8010405803191913
67559,Bad Bunny,Un Verano Sin Ti,Efecto,96,0.801,0.475,-8.797,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,1,2.0511800000000004,0,happy/Upbeat,0.8010405803191913
81024,Charlie Puth;Jung Kook;BTS,Left and Right (Feat. Jung Kook of BTS),Left and Right (Feat. Jung Kook of BTS),92,0.881,0.592,-4.898,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,1,2.0483200000000004,0,happy/Upbeat,0.7982839484991782
